ID,Acc1,Acc2,Acc3,Acc1_freq,Acc2_freq,Acc3_freq,Acc_frequency,Body,Team,Jersey,Hair,Role,Number,Dunks,Shooting,Overall,Playmaking,Defense,Title,Top_pct_performance,Body_frequency,Hair_frequency,Role_frequency,Overall_rarity,rarity_rank
5316,None,,,0.25897395171537485,,,0.25897395171537485,Human,All-Stars,Home,Custom,All-Star,1,99,99,99.0,99,99,BALLER #5316,0.0003092783505154184,0.0003092783505154639,0.0003092783505154639,0.0003092783505154639,7.661338394271682e-12,1
7353,None,,,0.25897395171537485,,,0.25897395171537485,Human,All-Stars,Home,Custom,All-Star,23,99,99,99.0,99,99,BALLER #7353,0.0003092783505154184,0.0003092783505154639,0.0003092783505154639,0.0003092783505154639,7.661338394271682e-12,2
2284,None,,,0.25897395171537485,,,0.25897395171537485,Human,All-Stars,Home,Custom,All-Star,1,99,99,99.0,99,99,BALLER #2284,0.0003092783505154184,0.0003092783505154639,0.0003092783505154639,0.0003092783505154639,7.661338394271682e-12,3
5637,Armband,Headband,Red Headphones,0.24698221092757305,0.24182020330368487,0.009212198221092757,0.0005502011960953238,Alien,Toronto Spears,Home,Red Crew,Captain,93,82,81,85.0,84,93,BALLER #5637,0.10288659793814436,0.0070103092783505155,0.02381443298969072,0.03783505154639175,3.4753078731302254e-09,4
8095,Armband,Headband,Eye Patch,0.24698221092757305,0.24182020330368487,0.008259212198221092,0.0004932838309820145,Stone,San Francisco Surge,Home,Pink Ponytail,Captain,84,74,86,80.25,87,74,BALLER #8095,0.4483505154639176,0.0311340206185567,0.01804123711340206,0.03783505154639175,1.0483172528973249e-08,5
7603,Headband,Grey Headphones,,0.24182020330368487,0.025571791613723,,0.0061837758468699594,Bright Zombie,Cleveland Firebirds,Home,Brunette Bob,Captain,40,68,73,75.75,80,82,BALLER #7603,0.8249484536082474,0.005463917525773196,0.019175257731958762,0.03783505154639175,2.451282777460161e-08,6
4328,Armband,Headband,Goggles,0.24698221092757305,0.24182020330368487,0.00929161372299873,0.0005549443098547663,Bright Zombie,Houston Rogues,Away,Brunette Wavy Ponytail,Player,13,85,82,84.0,95,74,BALLER #4328,0.15144329896907216,0.005463917525773196,0.016391752577319587,0.9618556701030928,4.780670784939761e-08,7
8893,Armband,Headband,Goggles,0.24698221092757305,0.24182020330368487,0.00929161372299873,0.0005549443098547663,Human III,San Francisco Surge,Away,Brunette Short,Captain,72,80,93,79.75,72,74,BALLER #8893,0.4984536082474227,0.1811340206185567,0.016082474226804123,0.03783505154639175,6.116410483278625e-08,8
4353,Headband,Cyborg Eye,,0.24182020330368487,0.001747141041931385,,0.0004224940019600593,Human I,St. Louis Orcs,Home,Thinning,Captain,95,89,70,80.0,80,81,BALLER #4353,0.471958762886598,0.16927835051546392,0.025051546391752576,0.03783505154639175,6.778769013744208e-08,9
9409,Armband,Gold Chain,,0.24698221092757305,0.001826556543837357,,0.000451126973581177,Bright Pink Alien,Miami Tentacles,Away,Cheetah,Player,84,85,74,82.5,76,95,BALLER #9409,0.25340206185567016,0.005979381443298969,0.02711340206185567,0.9618556701030928,7.034755019291453e-08,10
9534,Armband,Headband,Earrings,0.24698221092757305,0.24182020330368487,0.01008576874205845,0.0006023754474491908,Human II,Houston Rogues,Away,Redhead Ponytail,Captain,88,91,97,84.25,66,83,BALLER #9534,0.1380412371134021,0.17082474226804123,0.01865979381443299,0.03783505154639175,7.264725460888091e-08,11
6232,Headband,Gold Chain,,0.24182020330368487,0.001826556543837357,,0.00044169827477642565,Human IV,Helena Pronghorns,Home,Thinning,Captain,54,81,90,80.0,73,76,BALLER #6232,0.471958762886598,0.17670103092783504,0.025051546391752576,0.03783505154639175,7.397647881182155e-08,12
3885,Armband,Headband,Red Headphones,0.24698221092757305,0.24182020330368487,0.009212198221092757,0.0005502011960953238,Bright Zombie,Sierra Spiders,Home,Cheetah,Player,13,98,84,88.0,87,83,BALLER #3885,0.023608247422680417,0.005463917525773196,0.02711340206185567,0.9618556701030928,7.84006366214816e-08,13
4924,Armband,Headband,Gold Chain,0.24698221092757305,0.24182020330368487,0.001826556543837357,0.00010909161646717629,Lizard,Portland Bats,Home,Brown Pompadour,Player,,71,68,76.75,84,84,BALLER #4924,0.754020618556701,0.032783505154639174,0.02649484536082474,0.9618556701030928,9.11418964998514e-08,14
8034,Armband,Headband,Red Headphones,0.24698221092757305,0.24182020330368487,0.009212198221092757,0.0005502011960953238,Human III,St. Louis Orcs,Home,Brown Short,Captain,6,70,81,77.75,82,78,BALLER #8034,0.6767010309278351,0.1811340206185567,0.024329896907216497,0.03783505154639175,9.173945506806687e-08,15
2805,3D Glasses,,,0.0012706480304955528,,,0.0012706480304955528,Bright Zombie,Los Angeles Knives,Away,Brunette Bun,Player,99,81,80,80.5,81,80,BALLER #2805,0.42309278350515467,0.005463917525773196,0.017938144329896908,0.9618556701030928,1.1978896884246144e-07,16
8370,Armband,Headband,Steampunk Goggles,0.24698221092757305,0.24182020330368487,0.02716010165184244,0.001622144905729317,Human I,New York Torches,Away,Braids,Captain,90,72,83,78.75,92,68,BALLER #8370,0.5925773195876289,0.16927835051546392,0.012371134020618556,0.03783505154639175,1.2852715882527475e-07,17
